model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
LLaMA2-chat-hf-7b,item,---,prd.,0.339802,0.409110275125,0.48695499999999997,1.06743e-5,0.026122798893474998,0.07272189999999999,0,*
LLaMA2-chat-hf-7b,item,---,int.,0.7907139999999999,1.0537361247500001,1.33851,4.77767e-6,0.053431967946858755,0.150661,0,*
LLaMA2-chat-hf-7b,cond.,avg. scores,prd.,58.4664,69.6385369,81.7943,0.07614839999999999,0.118213632025,0.163882,0.4783750000000002,
LLaMA2-chat-hf-7b,cond.,avg. scores,int.,2.0299400000000003,2.3655573425000003,2.7301800000000003,5.04487e-7,0.017604721817200623,0.0515264,0,*
LLaMA2-chat-hf-7b,cond.,avg. prob.,prd.,8.05216,27.25950784875,55.303000000000004,0.068148,0.1083850503625,0.147567,0,*
LLaMA2-chat-hf-7b,cond.,avg. prob.,int.,2.85739,19.24337921,51.4074,6.57539e-6,0.01361457087781875,0.0402215,0,*
LLaMA2-chat-hf-7b,cond.,avg. WTA,prd.,12.180900000000001,14.702540712500001,17.2147,0.0768195,0.11969888782499999,0.164125,0.499624999999999,
LLaMA2-chat-hf-7b,cond.,avg. WTA,int.,0.861178,1.010148149125,1.1444100000000001,8.70404e-6,0.01815853948503,0.0542939,0,*
