model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.4959999999999999,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.5061250000000012,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.288625,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.20549999999999974,
LLaMA2-hf-7b,item,---,prd.,0.344533,2.380082235375,5.0899,0.019973499999999998,0.4537709932193375,0.6758689999999999,0,*
LLaMA2-hf-7b,item,---,int.,0.407178,0.519675450625,0.64058,5.259789999999999e-6,0.04744014845071,0.135133,0,*
LLaMA2-hf-7b,cond.,avg. scores,prd.,13.483400000000001,28.973062050000003,54.188300000000005,0.20679399999999998,0.248314849875,0.292568,0,*
LLaMA2-hf-7b,cond.,avg. scores,int.,0.8440759999999999,0.9785665972500001,1.1234,6.83267e-7,0.017233971397925874,0.051682399999999996,0,*
LLaMA2-hf-7b,cond.,avg. prob.,prd.,6.885,17.7224165,34.801700000000004,5.46593e-7,0.006019181086117375,0.0180292,0,*
LLaMA2-hf-7b,cond.,avg. prob.,int.,1.2577200000000002,3.49303596375,8.60135,1.42669e-6,0.031065533207932497,0.0819032,0,*
LLaMA2-hf-7b,cond.,avg. WTA,prd.,2.47004,2.7902979950000004,3.17918,5.8781099999999995e-6,0.029236428625475,0.0825011,0.0010000000000000508,*
LLaMA2-hf-7b,cond.,avg. WTA,int.,0.606314,0.706790088,0.814935,3.31335e-6,0.017749024311908747,0.0524863,0,*
