model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
LLaMA2-hf-13b,item,---,prd.,1.37246,1.9140747275,2.4671800000000004,0.00192025,0.065958935366375,0.12159299999999999,0,*
LLaMA2-hf-13b,item,---,int.,2.1327700000000003,2.89557373875,3.6929700000000003,1.29679e-5,0.0478733829745125,0.136726,0,*
LLaMA2-hf-13b,cond.,avg. scores,prd.,13.7295,16.3208989875,19.0978,0.0778601,0.1186598872875,0.163818,0.49825000000000075,
LLaMA2-hf-13b,cond.,avg. scores,int.,7.72937,9.11077967625,10.419400000000001,3.73372e-7,0.01658236861157525,0.049973,0,*
LLaMA2-hf-13b,cond.,avg. prob.,prd.,69.8435,185.80083665,360.437,0.0604529,0.092380669475,0.128687,0,*
LLaMA2-hf-13b,cond.,avg. prob.,int.,13.6288,39.723276500000004,88.27940000000001,2.45651e-6,0.0158884713472925,0.046197999999999996,0.003375000000000021,*
LLaMA2-hf-13b,cond.,avg. WTA,prd.,2.27938,2.70403405875,3.17748,0.0794199,0.12055923245,0.163957,0.5056249999999999,
LLaMA2-hf-13b,cond.,avg. WTA,int.,0.7800269999999999,0.937098607125,1.1195700000000002,3.9218e-5,0.0259962222647375,0.0723404,0.028000000000000108,*
