model,data,method,condition,|95%_alpha,mean_alpha,95%|_alpha,|95%_epsilon,mean_epsilon,95%|_epsilon,Bpppv,significant
RSA,item,---,prd.,2.61805,3.126816155,3.6944700000000004,0.0758876,0.11973345465,0.164662,0.288625,
RSA,item,---,int.,0.206087,0.674457631125,1.0765,0.0845664,0.136000463295875,0.190889,0.20549999999999974,
RSA,cond.,---,prd.,2.6202400000000003,3.13912630625,3.6951600000000004,0.077983,0.1212109159875,0.16791399999999998,0.4959999999999999,
RSA,cond.,---,int.,0.268327,0.67845399075,1.1288500000000001,0.0863212,0.1363906225325,0.191965,0.5061250000000012,
LLaMA2-chat-hf-13b,item,---,prd.,0.014062499999999999,0.04339662371625,0.07577099999999999,9.34406e-6,0.0849759010717075,0.242134,0,*
LLaMA2-chat-hf-13b,item,---,int.,0.0986165,0.1278358633375,0.161352,5.40623e-5,0.052673863835325,0.147968,0,*
LLaMA2-chat-hf-13b,cond.,avg. scores,prd.,1.46961,2.071671455,2.71354,1.79062e-6,0.03844907705803875,0.111663,0,*
LLaMA2-chat-hf-13b,cond.,avg. scores,int.,0.239979,0.283977090875,0.331463,5.00366e-6,0.023997108943895,0.0663907,0.0036250000000000097,*
LLaMA2-chat-hf-13b,cond.,avg. prob.,prd.,2.3448200000000003,16.140027234999998,52.994600000000005,1.1206199999999998e-6,0.02615168536376875,0.0749639,0,*
LLaMA2-chat-hf-13b,cond.,avg. prob.,int.,0.371847,1.772105378,6.884600000000001,7.69644e-5,0.044555335017762494,0.112299,0.04712499999999996,*
LLaMA2-chat-hf-13b,cond.,avg. WTA,prd.,1.9841000000000002,2.6596042250000003,3.27794,3.39703e-6,0.03856160538251125,0.112827,0,*
LLaMA2-chat-hf-13b,cond.,avg. WTA,int.,0.577676,0.6841872501249999,0.795055,7.5695e-6,0.020637836486349998,0.0604809,5.000000000000202e-4,*
